from_asset,to_asset,commission_year,producer_efficiency
RO_Solar,RO_E_Demand,2050,1.0
RO_Wind_Offshore,RO_E_Demand,2050,1.0
RO_Wind_Onshore,RO_E_Demand,2050,1.0
RO_electrolyzer,RO_H_Demand,2050,0.65
SE_Battery,SE_E_Demand,2050,0.955
SE_E_Demand,DE_E_Demand,2050,
SE_E_Demand,DK_E_Demand,2050,
SE_E_Demand,PL_E_Demand,2050,
SE_E_Demand,SE_Battery,2050,0.955
SE_E_Demand,SE_electrolyzer,2050,1.0
SE_Gas,SE_E_Demand,2050,1.0
SE_Hydro_Reservoir,SE_E_Demand,2050,1.0
SE_Nuclear,SE_E_Demand,2050,1.0
SE_OCGT,SE_E_Demand,2050,1.0
SE_Solar,SE_E_Demand,2050,1.0
SE_Wind_Offshore,SE_E_Demand,2050,1.0
SE_Wind_Onshore,SE_E_Demand,2050,1.0
SE_electrolyzer,SE_H_Demand,2050,0.65
SI_Battery,SI_E_Demand,2050,0.955
SI_Coal,SI_E_Demand,2050,1.0
SI_E_Demand,AT_E_Demand,2050,
SI_E_Demand,IT_E_Demand,2050,
SI_E_Demand,SI_Battery,2050,0.955
SI_E_Demand,SI_Pump_Hydro_Closed,2050,0.875
SI_E_Demand,SI_electrolyzer,2050,1.0
SI_Gas,SI_E_Demand,2050,1.0
SI_Hydro,SI_E_Demand,2050,1.0
SI_Nuclear,SI_E_Demand,2050,1.0
SI_OCGT,SI_E_Demand,2050,1.0
SI_Pump_Hydro_Closed,SI_E_Demand,2050,0.875
SI_Solar,SI_E_Demand,2050,1.0
SI_Wind_Offshore,SI_E_Demand,2050,1.0
SI_Wind_Onshore,SI_E_Demand,2050,1.0
SI_electrolyzer,SI_H_Demand,2050,0.65
SK_Battery,SK_E_Demand,2050,0.955
SK_Coal,SK_E_Demand,2050,1.0
SK_E_Demand,CZ_E_Demand,2050,
SK_E_Demand,HU_E_Demand,2050,
SK_E_Demand,PL_E_Demand,2050,
SK_E_Demand,SK_Pump_Hydro_Closed,2050,0.875
SK_E_Demand,SK_Pump_Hydro_Open,2050,0.875
SK_E_Demand,SK_electrolyzer,2050,1.0
SK_Gas,SK_E_Demand,2050,1.0
SK_Hydro,SK_E_Demand,2050,1.0
SK_Hydro_Reservoir,SK_E_Demand,2050,1.0
SK_Nuclear,SK_E_Demand,2050,1.0
