asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
SE_Nuclear,2050,950000.00000000000,34.8,0.0000000000,0.0
SE_OCGT,2050,55000.00000000000,0.29100000000000004,0.0000000000,0.0
SE_Solar,2050,34342.98027538492,139.5,0.0000000000,0.0
SE_Wind_Offshore,2050,119732.61777406993,43.8,0.0000000000,0.0
SE_Wind_Onshore,2050,77356.32865703155,147.3,0.0000000000,0.0
SE_electrolyzer,2050,800000.00000000000,25.993150686,0.0000000000,0.0
SI_Battery,2050,77577.85030576670,0.195,19394.4625764417,0.39
SI_Coal,2050,420000.00000000000,1.7249999999999999,0.0000000000,0.0
SI_E_Demand,2050,,,0.0000000000,0.0
SI_Gas,2050,95000.00000000000,6.846,0.0000000000,0.0
SI_H_Demand,2050,,,0.0000000000,0.0
SI_Hydro,2050,,0.9359999999999999,0.0000000000,0.0
SI_Nuclear,2050,950000.00000000000,3.3000000000000003,0.0000000000,0.0
SI_OCGT,2050,55000.00000000000,3.3779999999999997,0.0000000000,0.0
SI_Pump_Hydro_Closed,2050,,0.54,0.0000000000,0.0
SI_Solar,2050,34342.98027538492,107.844,0.0000000000,0.0
SI_Wind_Offshore,2050,119732.61777406993,9.600000000000001,0.0000000000,0.0
SI_Wind_Onshore,2050,77356.32865703155,22.662,0.0000000000,0.0
SI_electrolyzer,2050,800000.00000000000,1.952054796,0.0000000000,0.0
SK_Battery,2050,77577.85030576670,7.386000000000001,19394.4625764417,14.772
SK_Coal,2050,420000.00000000000,0.753,0.0000000000,0.0
SK_E_Demand,2050,,,0.0000000000,0.0
SK_Gas,2050,95000.00000000000,4.023,0.0000000000,0.0
SK_H_Demand,2050,,,0.0000000000,0.0
SK_Hydro,2050,,4.338,0.0000000000,0.0
SK_Hydro_Reservoir,2050,,0.063,0.0000000000,0.0
SK_Nuclear,2050,950000.00000000000,9.288,0.0000000000,0.0
SK_Pump_Hydro_Closed,2050,,1.9500000000000002,0.0000000000,0.0
SK_Pump_Hydro_Open,2050,,0.8280000000000001,0.0000000000,0.0
SK_Solar,2050,34342.98027538492,15.0,0.0000000000,0.0
SK_Wind_Onshore,2050,77356.32865703155,6.0,0.0000000000,0.0
SK_electrolyzer,2050,800000.00000000000,8.150684931,0.0000000000,0.0
UK_Battery,2050,77577.85030576670,38.796,19394.4625764417,77.592
UK_E_Demand,2050,,,0.0000000000,0.0
UK_Gas,2050,95000.00000000000,28.515,0.0000000000,0.0
UK_H_Demand,2050,,,0.0000000000,0.0
UK_Hydro,2050,,7.539,0.0000000000,0.0
UK_Nuclear,2050,950000.00000000000,48.0,0.0000000000,0.0
UK_OCGT,2050,55000.00000000000,3.729,0.0000000000,0.0
UK_Pump_Hydro_Closed,2050,,8.232000000000001,0.0000000000,0.0
UK_Solar,2050,34342.98027538492,191.145,0.0000000000,0.0
UK_Wind_Offshore,2050,119732.61777406993,331.374,0.0000000000,0.0
UK_Wind_Onshore,2050,77356.32865703155,161.754,0.0000000000,0.0
UK_electrolyzer,2050,800000.00000000000,106.76722266,0.0000000000,0.0
